"","indice_tiempo","valor.canasta"
"1","2010-05-01",2053
"2","2010-12-01",2458
"3","2011-05-01",2691
"4","2011-11-01",3059
"5","2012-05-01",3519
"6","2012-12-01",3973
"7","2013-05-01",4298
"8","2013-12-01",4885
"9","2014-05-01",5677
"10","2014-11-01",6720
"11","2015-05-01",7608
"12","2015-11-01",8611
"13","2016-04-01",11031
"14","2016-08-01",13240
"15","2016-12-01",14062
"16","2017-05-01",16134
"17","2017-11-01",17523
"18","2018-04-01",19290
"19","2018-08-01",21127
"20","2018-12-01",26043
"21","2019-04-01",30524
"22","2019-10-01",37815
"23","2020-04-01",45020
"24","2020-10-01",49614
"25","2021-04-01",64039
"26","2021-10-01",75505
"27","2022-04-01",97238
"28","2022-10-01",151478
